Size and Ret212,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
192607,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192608,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192609,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192610,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192611,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192612,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192701,-50.8,-20.09,-3.34,8.26,63.22,-39.34,-18.91,-5.41,12.68,58.34,-47.28,-19.16,-2.73,12.61,55.14,-40.4,-17.41,-3.16,11.96,33.41,-42.26,-19.28,-3.69,9.61,35.16
192702,-48.64,-19.23,-3.74,9.92,64.23,-41.83,-17.34,-3.43,11.64,53.48,-41.63,-16.06,-2.96,11.2,49.53,-36.02,-16.77,-1.11,12.14,31.89,-34.26,-17.71,-1.03,11.48,34.25
192703,-44.57,-11.29,2.22,14.33,42.86,-35.73,-11.37,2.76,14.71,73.98,-39.23,-12.02,4.76,17.2,56.23,-29.9,-12.99,4.52,17.33,46.01,-32.04,-11.09,4.17,16.45,43.45
192704,-31.84,4.57,17.94,33,61.77,-22.52,4.87,19.1,28.84,87.75,-11.59,3.95,19.82,31.26,87.43,-11.86,4.07,18.49,31.51,75.88,-9999,7.6,19.44,32.19,66.16
192705,-38.14,-3.41,10.03,25.3,78.63,-25.43,-3.42,11.71,30.28,81.72,-26.56,-0.23,12.43,27.99,84.2,-18.2,-2.03,14,26.26,68.86,-15.54,0.59,13.91,28,58.88
192706,-40.67,-4.05,12.71,28.9,64.2,-26.11,-3.11,13.24,30.62,83.43,-24.34,-0.62,14.98,26.64,86.58,-19.77,-1.52,14.04,28.17,81.74,-18.19,0.99,14.29,27.45,64.51
192707,-38.25,-2.53,16.66,30.33,103.74,-26.05,-2.24,15.92,31.47,79.53,-27.98,-4.65,17.31,31.34,91.35,-21.07,-3.1,14.91,31.31,92.43,-17.56,-0.88,15.45,29.87,69.83
192708,-43.13,-7.77,11.41,31.92,98.06,-32.19,-5.63,10.57,27.7,84.4,-24.57,-4.87,11.31,27.99,80.21,-28.62,-5.4,10.24,28.62,80.01,-21.29,-4.84,11.87,26.54,61.15
192709,-40.04,-5.65,13.85,33.14,115.7,-29.06,-2.44,13.09,35.36,85.89,-24.87,-5.44,13.45,32.13,77.23,-25.71,-3.9,13.47,32.63,92.71,-24.27,-2.4,17.54,30.57,65.86
192710,-39.37,-2.07,15.26,33.42,89.99,-24.97,-0.42,15.72,33.84,93.21,-26,-1.56,17.07,36.04,79.81,-22.96,-1.04,16.52,33.57,91.97,-21.18,-2.14,17.58,32.17,63.07
192711,-33.49,-0.72,22.94,47.95,114.86,-23.22,3.51,22.33,38.61,112.64,-19.25,2.28,23.96,43.99,105.68,-17.66,3.12,24.66,41.42,100.14,-16.36,4.07,24.41,42.18,83.76
192712,-36.02,-3,11,34.98,91.02,-29.24,-5.51,11.32,35.67,115.61,-28.44,-3.88,13.91,37.32,83.2,-23.48,-4.91,14.77,35.76,89.77,-21.41,-1.4,16.12,34.24,66.12
192801,-29.37,1.92,20.34,43.95,106.01,-23.39,1.61,21.18,42.66,136.27,-19.32,2.44,20.64,40.01,95.43,-22.28,2.95,20.6,44.61,100.45,-16.26,2.48,21.39,41.75,70.86
192802,-28.51,3.67,21.54,42.26,119.89,-23.19,3.96,22.23,42.87,130.8,-15.64,4.36,22.22,44.52,91.82,-15.09,2.34,22.93,43.22,105.97,-19.95,7.92,24.12,44.29,79.51
