Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
192607,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192608,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192609,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192610,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192611,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192612,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
192701,1.78,2.26,2.16,2.24,2.33,6.44,6.97,7.97,7.02,7.16,15.59,14.2,14.07,16.02,15.68,36.78,34.36,40.74,35.8,36.5,144.69,231.9,161.96,240.16,249.5
192702,1.94,2.34,2.18,2.25,2.49,7.21,6.75,8.4,7.09,7.53,15.33,14.9,14.87,15.14,15.84,38.58,33.39,37.9,42.27,36.81,135.77,119.33,180.1,250.38,250.28
192703,2.1,2.22,2.53,3.56,2.23,7.7,7.63,8,7.25,8.82,16.41,16.02,15.05,16.2,17.22,38.8,38.73,41.28,39.57,38.72,143.14,168.33,203.21,235.54,286.92
192704,1.84,2.2,2.69,2.19,1.92,7.59,6.98,7.79,7.19,7.66,14.93,14.96,15.1,15.26,16.39,32.65,40.53,44.01,37.76,37.58,-99.99,194.37,257.96,205.95,262.33
192705,1.94,2.03,2.43,2.89,1.9,7.35,7.53,7,7.38,7.89,15.71,13.9,15.56,15.66,16.93,34.18,41.86,40.54,39.06,37.52,464.83,175.56,186.36,248,314.19
192706,1.9,2.41,2.49,3.15,1.89,7.81,7.6,7.6,7.86,7.9,16.04,15.26,15.91,16.54,17.05,41.35,42.83,45.82,39.43,40.43,313.09,185.65,246.11,209.53,354.88
192707,1.77,2.43,2.48,1.73,2.56,7.15,8.22,8.39,7.34,7.68,14.45,14.92,16.04,15.76,17.15,38.86,40.52,42.32,38.76,38.33,131.29,201.05,192.53,280.15,302.94
192708,1.94,2.8,2.35,2.44,2.7,7.99,8.14,8.5,7.88,8.18,15.04,15.23,16.49,16.75,17.56,36.7,46.95,45.71,41.44,39.3,97.32,220.73,225.59,287.63,392.25
192709,1.85,2.4,2.6,2.49,2.53,8.17,8.12,7.95,8.08,7.8,14.55,15.94,16.57,17.98,17.65,38.57,45.33,44.59,43.93,38.87,105.58,200.18,272.7,225.19,416.41
192710,1.98,2.44,2.43,1.52,3.2,8.44,8.69,8.34,8.01,7.85,15.31,17.74,15.95,20.29,17.95,44.87,49.34,47.28,43.73,44.6,137.02,245,261.07,240.78,412.82
192711,1.91,2.52,2.22,2.87,2.66,6.89,8.8,7.27,7.56,8,14.12,16.85,17.11,18.21,17.42,40.95,47.58,42.41,43.91,41.88,121.87,237.81,276.25,202.49,415.28
192712,2.24,2.02,2.37,3.54,3.04,8.08,9.27,8.4,8.83,8.52,15.24,17.91,18.79,19.4,18.15,37.38,51.57,48.53,45.76,42.49,120.7,181.84,306.71,283.39,314.27
192801,2.41,2.54,2.31,2.2,2.85,8.89,8.62,9.11,9.35,8.81,17.95,19.17,19.88,20.03,20.15,45.84,53.67,48.97,44.76,50.63,126.58,280.46,294.32,231.99,388.59
192802,2.51,2.91,1.74,2.7,3.13,8.95,9.53,8.5,8.9,9.66,19.05,18.34,19.02,19.95,20.92,38.93,50.2,52.05,42.89,50.86,137.12,265.04,303.61,230.57,376.65
192803,2.15,2.87,2.85,2.82,2.69,8.63,9.16,8.98,8.35,9.21,17.1,19.66,19.65,19.87,19.66,40.42,53,46.54,42.96,49.01,137.56,263.73,299.9,253.77,332.18
