DATE,BAB,Defensive/Quality,Carry
192607,,,
192608,,,
192609,,,
192610,,,
192611,,,
192612,,,
192701,,,
192702,,,
192703,,,
192704,,,
192705,,,
192706,,,
192707,,,
192708,,,
192709,,,
192710,,,
192711,,,
192712,,,
192801,,,
192802,,,
192803,,,
192804,,,
192805,,,
192806,,,
192807,,,
192808,,,
192809,,,
192810,,,
192811,,,
192812,,,
192901,,,
192902,,,
192903,,,
192904,,,
192905,,,
192906,,,
192907,,,
192908,,,
192909,,,
192910,,,
192911,,,
192912,,,
193001,,,
193002,,,
193003,,,
193004,,,
193005,,,
193006,,,
193007,,,
193008,,,
193009,,,
193010,,,
193011,,,
193012,,,
193101,-3.31%,,
193102,-7.03%,,
193103,2.11%,,
193104,-1.66%,,
193105,-0.55%,,
193106,-5.29%,,
193107,0.78%,,
193108,0.27%,,
193109,-3.68%,,
193110,-8.04%,,
193111,0.28%,,
193112,-2.30%,,
193201,-7.50%,,
193202,1.32%,,
193203,2.37%,,
193204,-2.31%,,
193205,-1.66%,,
193206,-1.07%,,
193207,-16.41%,,
193208,-9.08%,,
193209,5.19%,,
193210,4.23%,,
193211,2.40%,,
193212,-0.53%,,
193301,0.56%,,
193302,3.30%,,
193303,0.61%,,
193304,-5.86%,,
193305,17.05%,,
193306,7.80%,,
193307,-1.91%,,
193308,1.14%,,
193309,2.95%,,
193310,-0.67%,,
193311,-0.19%,,
193312,0.88%,,
193401,2.56%,,
193402,2.78%,,
193403,1.88%,,
193404,8.73%,,
193405,0.27%,,
193406,3.36%,,
193407,2.23%,,
193408,-2.43%,,
193409,1.64%,,
193410,5.28%,,
193411,6.95%,,
193412,0.57%,,
193501,2.41%,,
193502,6.88%,,
193503,0.57%,,
193504,2.86%,,
193505,2.64%,,
193506,3.42%,,
193507,-0.50%,,
193508,-1.72%,,
193509,2.09%,,
193510,1.83%,,
193511,-1.81%,,
193512,1.34%,,
193601,-2.73%,,
193602,0.55%,,
193603,2.07%,,
193604,-0.61%,,
193605,1.82%,,
193606,1.45%,,
193607,2.25%,,
193608,0.97%,,
193609,2.76%,,
193610,3.31%,,
193611,2.63%,,
193612,-4.94%,,
193701,-1.35%,,
193702,-0.85%,,
193703,-4.23%,,
193704,0.27%,,
193705,0.74%,,
193706,-1.17%,,
193707,-0.12%,,
193708,0.89%,,
193709,-2.65%,,
193710,-3.62%,,
193711,-3.71%,,
193712,2.81%,,
193801,2.41%,,
193802,0.58%,,
193803,-0.57%,,
193804,-1.89%,,
193805,2.71%,,
193806,-1.98%,,
193807,2.10%,,
193808,0.53%,,
193809,-1.46%,,
193810,-3.36%,,
193811,2.65%,,
193812,-0.63%,,
193901,2.64%,,
193902,1.38%,,
193903,7.11%,,
193904,-0.93%,,
193905,3.77%,,
193906,5.66%,,
193907,-3.00%,,
193908,0.00%,,
193909,-19.78%,,
193910,7.28%,,
193911,6.20%,,
193912,2.62%,,
194001,3.94%,,
194002,0.21%,,
194003,1.97%,,
194004,-0.28%,,
194005,-9.93%,,
194006,3.27%,,
194007,2.13%,,
194008,0.61%,,
194009,1.23%,,
194010,-1.64%,,
194011,1.68%,,
194012,1.68%,,
194101,-0.05%,,
194102,-1.27%,,
194103,0.53%,,
194104,-0.10%,,
194105,-1.10%,,
194106,1.80%,,
194107,-2.88%,,
194108,0.82%,,
194109,1.77%,,
194110,-0.63%,,
194111,0.54%,,
194112,0.09%,,
194201,-7.91%,,
194202,-2.12%,,
194203,-3.94%,,
194204,-2.07%,,
194205,4.81%,,
194206,2.55%,,
194207,0.55%,,
194208,0.34%,,
194209,-1.75%,,
194210,-2.09%,,
194211,3.93%,,
194212,2.83%,,
194301,-4.91%,,
194302,-5.32%,,
194303,0.47%,,
194304,-1.34%,,
194305,-0.69%,,
194306,2.57%,,
194307,2.08%,,
194308,0.63%,,
194309,1.01%,,
194310,-0.37%,,
194311,1.74%,,
194312,-1.00%,,
194401,0.37%,,
194402,-0.14%,,
194403,-0.86%,,
194404,0.41%,,
194405,1.50%,,
194406,-2.10%,,
194407,1.80%,,
194408,-0.28%,,
194409,0.10%,,
194410,1.83%,,
194411,0.39%,,
194412,-1.71%,,
194501,0.53%,,
194502,0.26%,,
194503,1.19%,,
194504,0.37%,,
194505,1.25%,,
194506,-4.60%,,
194507,0.87%,,
194508,3.93%,,
194509,2.47%,,
194510,4.50%,,
194511,0.80%,,
194512,1.08%,,
194601,-0.70%,,
194602,0.47%,,
194603,5.52%,,
194604,5.76%,,
194605,0.10%,,
194606,-1.18%,,
194607,1.38%,,
194608,0.71%,,
194609,0.12%,,
194610,0.30%,,
194611,2.01%,,
194612,1.15%,,
194701,-1.70%,,
194702,0.59%,,
194703,0.30%,,
194704,0.30%,,
194705,0.85%,,
194706,2.40%,,
194707,-0.33%,,
194708,0.46%,,
194709,-1.38%,,
194710,0.89%,,
194711,1.02%,,
194712,-0.04%,,
194801,-2.32%,,
194802,0.27%,,
194803,-1.54%,,
194804,0.62%,,
194805,0.36%,,
194806,-0.55%,,
194807,0.35%,,
194808,0.44%,,
194809,1.41%,,
194810,0.57%,,
194811,1.24%,,
194812,0.47%,,
194901,1.69%,,
194902,0.90%,,
194903,-0.82%,,
194904,1.88%,,
194905,3.37%,,
194906,0.43%,,
194907,1.09%,,
194908,2.23%,,
194909,-0.51%,,
194910,0.49%,,
194911,2.26%,,
194912,-0.06%,,
195001,-1.07%,,
195002,0.79%,,
195003,0.52%,,
195004,-3.59%,,
195005,1.66%,,
195006,-0.98%,,
195007,-5.53%,,
195008,2.87%,,
195009,1.15%,,
195010,1.04%,,
195011,-0.88%,,
195012,-3.44%,,
195101,0.48%,,
195102,2.23%,,
