Date,Convert Arb,Ded Short Bias,Emerging Markets,Eq Mkt Neutral,Event Driven,FI Rel Val,Fund Returns,Global Macro,L/S Equity,Managed Futures
1/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/28/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/30/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/28/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/30/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/29/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/30/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/28/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/30/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/1994,0.4%,-1.6%,10.5%,-0.5%,3.7%,1.3%,1.1%,0.2%,1.2%,0.2%
2/28/1994,0.1%,2.0%,-1.1%,0.2%,-0.2%,-2.0%,-4.1%,-5.7%,-2.5%,1.2%
3/31/1994,-1.0%,7.2%,-4.6%,-0.2%,-1.3%,-1.7%,-3.6%,-4.3%,-3.9%,2.6%
4/30/1994,-2.5%,1.3%,-8.4%,0.3%,-0.7%,-0.2%,-1.7%,-1.6%,-1.6%,0.9%
5/31/1994,-1.0%,2.2%,-0.7%,-0.1%,-0.1%,0.8%,2.2%,3.8%,0.6%,0.8%
6/30/1994,0.2%,6.3%,0.5%,0.7%,-0.1%,-0.4%,-0.8%,-0.9%,-2.3%,4.2%
7/31/1994,0.1%,-1.2%,5.8%,-1.0%,0.5%,-0.2%,0.4%,-0.3%,1.3%,-1.0%
8/31/1994,0.0%,-5.7%,16.4%,-1.0%,0.8%,-0.1%,2.8%,2.8%,1.6%,-0.3%
9/30/1994,-1.2%,1.6%,5.2%,-0.9%,0.8%,0.7%,0.7%,0.2%,0.3%,2.0%
10/31/1994,-1.4%,-0.4%,-3.5%,-0.4%,-0.7%,0.9%,-1.4%,-2.2%,0.3%,1.2%
11/30/1994,-0.2%,3.0%,-1.4%,-0.3%,-1.1%,0.7%,0.4%,2.1%,-2.9%,1.6%
12/31/1994,-1.9%,-0.2%,-4.2%,1.3%,-0.8%,0.6%,-0.2%,0.5%,-0.3%,-1.9%
1/31/1995,-0.6%,1.3%,-10.0%,0.5%,0.5%,0.3%,-2.0%,-2.5%,-0.7%,-0.1%
2/28/1995,1.2%,-2.2%,-7.9%,0.9%,2.4%,0.6%,0.4%,0.1%,3.0%,-1.3%
