Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
192607,2.96,-2.3,-2.87,0.22,-999,-1.84,-999
192608,2.64,-1.4,4.19,0.25,-999,1.41,-999
192609,0.36,-1.32,0.01,0.23,-999,-0.18,-999
192610,-3.24,0.04,0.51,0.32,-999,-2.03,-999
192611,2.53,-0.2,-0.35,0.31,-999,0.97,-999
192612,2.62,-0.04,-0.02,0.28,-999,1.95,-999
192701,-0.06,-0.56,4.83,0.25,0.44,-1.96,-999
192702,4.18,-0.1,3.17,0.26,-2.01,-1.35,-999
192703,0.13,-1.6,-2.67,0.3,3.59,-3.3,-999
192704,0.46,0.43,0.6,0.25,4.19,-3.54,-999
192705,5.44,1.41,4.93,0.3,3.01,-0.67,-999
192706,-2.34,0.47,-1.53,0.26,0.51,-0.68,-999
192707,7.26,-3.23,-1.16,0.3,4.32,-0.76,-999
192708,1.97,-0.72,-3.69,0.28,1.12,-1.21,-999
192709,4.76,-3.57,-0.71,0.21,1.93,-1.11,-999
192710,-4.31,2.13,-4.33,0.25,-1.11,-2.79,-999
192711,6.58,2.76,-0.31,0.21,-0.68,4.47,-999
192712,2.09,0.93,-1.06,0.22,3.19,-0.28,-999
192801,-0.68,4.25,-0.72,0.25,-0.6,0.74,-999
192802,-1.7,-2.03,-0.69,0.33,-1.02,0.18,-999
192803,8.81,-0.26,-1.2,0.29,4.87,-5.71,-999
192804,4.23,3.82,3.67,0.22,-5.65,-0.67,-999
192805,1.52,2.98,-3.46,0.32,2.85,3.12,-999
192806,-4.85,-3.5,-0.06,0.31,2.05,0.97,-999
192807,0.62,-1.35,-0.47,0.32,2.75,-1.7,-999
192808,6.68,-2.07,-2.11,0.32,3.62,0.08,-999
192809,2.88,2.18,0.76,0.27,3.62,-0.48,-999
192810,1.33,2.27,-2.26,0.41,5.05,-2.23,-999
192811,11.81,-1.81,2.8,0.38,1.93,-1.69,-999
192812,0.36,-0.85,-0.6,0.06,1.71,-1.34,-999
192901,4.66,-3.55,-1.21,0.34,2.43,-6.96,-999
192902,-0.34,-0.39,1.68,0.36,3.05,-0.05,-999
192903,-0.89,-4.78,1.56,0.34,-1.05,-2.77,-999
192904,1.43,-0.99,0.61,0.36,1.9,1.02,-999
192905,-6.39,-5.46,-1.57,0.44,-2.04,-2.2,-999
192906,9.7,-2.17,-2.76,0.52,8.72,1.26,-999
192907,4.46,-3.87,2.67,0.33,2.83,-1.25,-999
192908,8.18,-9.51,0.07,0.4,4.59,-1.74,-999
192909,-5.47,1.17,-0.63,0.35,3.04,1.98,-999
192910,-20.12,-4.08,7.85,0.46,4.09,-2.48,-999
192911,-12.74,-1.91,5.33,0.37,-2.39,-8.04,-999
192912,1.33,-4.2,-0.59,0.37,5.13,1.48,-999
193001,5.61,3.58,-1.01,0.14,-5.24,5.43,-999
193002,2.5,0.12,0.39,0.3,0.45,0.11,-999
193003,7.1,3.44,0.15,0.35,-4.18,1.51,-999
193004,-2.06,-0.17,-0.84,0.21,3.91,-0.11,-999
193005,-1.66,-2.04,-0.63,0.26,-0.02,3.45,-999
193006,-16.27,-3.22,2,0.27,6.61,-6.25,-999
193007,4.12,-0.37,-1.56,0.2,-2.16,6.1,-999
193008,0.3,-2.22,-0.78,0.09,3.95,1.91,-999
193009,-12.75,-2.22,-5.27,0.22,11.44,-3.71,-999
193010,-8.78,-0.1,-1.35,0.09,7.01,-3.69,-999
193011,-3.04,2.21,-3.53,0.13,-1.17,1.48,-999
193012,-7.83,-4.68,-5.39,0.14,13.29,-2.82,-999
193101,6.24,3.81,7.21,0.15,-10.94,16.49,1.27
193102,10.88,3.39,1.6,0.04,-14.37,-2.77,2.04
193103,-6.43,3.07,-3.65,0.13,9.55,5.25,4.73
193104,-9.98,-4.61,-3.92,0.08,11.42,-5.49,-1.64
193105,-13.24,5.16,-6.57,0.09,9.03,-3.47,-2.78
193106,13.9,-5.38,11.3,0.08,-17.85,17.73,3.46
193107,-6.62,1.43,-2.1,0.06,8.05,7.57,4.2
193108,0.41,-1.97,-1.49,0.03,-3.52,1.79,-3.45
193109,-29.13,0.56,-6.75,0.03,10.18,2.61,-7.13
193110,8.04,-1.87,1.7,0.1,3.28,18.23,8.46
193111,-9.08,4.3,-5.05,0.17,7.61,1.25,0.98
193112,-13.53,-0.56,-8.86,0.12,14.17,-5.87,-6.14
193201,-1.58,3.94,9.04,0.23,-10.32,15.78,6.59
193202,5.46,-2.77,-1.45,0.23,1.62,9.55,-0.35
193203,-11.21,2.27,-2.32,0.16,10.33,-0.62,1.14
193204,-17.96,1.44,1.42,0.11,6.78,-1.88,0.94
193205,-20.51,3.72,-3.28,0.06,12.2,-0.27,9.35
193206,-0.7,0.35,5.32,0.02,2.1,15.86,-1.44
193207,33.84,-4.44,35.46,0.03,-43.94,-1.58,19.88
193208,37.06,14.29,33.03,0.03,-52.26,-19.91,21.67
