DATE,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
1/31/1985,4.32%,-1.40%,15.42%,-1.74%,5.65%
2/28/1985,3.85%,4.78%,4.38%,-19.52%,10.00%
3/29/1985,-5.33%,-8.44%,3.30%,7.11%,-11.81%
4/30/1985,3.98%,6.02%,2.45%,4.75%,1.97%
5/31/1985,6.42%,4.57%,12.22%,14.49%,2.01%
6/28/1985,1.12%,4.67%,0.78%,0.20%,-3.36%
7/31/1985,-3.06%,3.28%,-2.30%,-1.09%,-13.28%
8/30/1985,5.28%,4.11%,6.68%,16.04%,2.30%
9/30/1985,0.69%,2.09%,-0.86%,14.85%,-4.85%
10/31/1985,0.77%,-1.74%,12.57%,-18.75%,1.98%
11/29/1985,4.81%,-0.04%,11.21%,7.45%,6.01%
12/31/1985,2.24%,-0.55%,10.81%,9.65%,-2.70%
1/31/1986,-2.58%,-9.22%,5.77%,-3.07%,1.29%
2/28/1986,10.27%,5.98%,16.85%,22.34%,7.73%
3/31/1986,8.76%,4.72%,32.61%,21.33%,-6.92%
4/30/1986,0.77%,-7.36%,3.76%,5.73%,9.34%
5/30/1986,-4.26%,-3.98%,-0.43%,-15.49%,-2.89%
6/30/1986,3.73%,3.36%,-2.70%,6.47%,8.02%
7/31/1986,3.98%,4.13%,-3.84%,1.43%,10.66%
8/29/1986,2.48%,-5.00%,18.75%,9.90%,-0.95%
9/30/1986,-4.09%,1.18%,-8.18%,-21.56%,-2.08%
10/31/1986,-1.26%,0.74%,2.97%,1.24%,-8.66%
11/28/1986,4.18%,2.15%,3.25%,8.26%,6.37%
12/31/1986,-0.30%,-3.50%,3.26%,-1.47%,2.58%
1/30/1987,6.57%,2.34%,7.42%,9.64%,11.36%
2/27/1987,3.96%,3.93%,7.23%,6.33%,0.56%
3/31/1987,4.42%,2.92%,6.01%,11.69%,2.56%
4/30/1987,-0.71%,1.22%,1.38%,-6.90%,-2.23%
5/29/1987,1.74%,3.74%,6.32%,1.02%,-4.50%
6/30/1987,-0.11%,3.33%,0.94%,-15.04%,1.10%
7/31/1987,4.05%,8.25%,9.39%,-2.97%,-3.10%
8/31/1987,1.01%,-3.62%,5.93%,6.58%,1.87%
9/30/1987,3.96%,2.40%,2.19%,6.95%,6.26%
10/30/1987,-10.69%,0.71%,-35.03%,-20.68%,-5.47%
11/30/1987,4.72%,3.66%,6.16%,3.21%,6.08%
12/31/1987,1.78%,-2.12%,0.21%,0.27%,9.89%
1/29/1988,-0.23%,-2.10%,3.94%,-1.98%,0.48%
2/29/1988,0.55%,1.68%,-5.67%,2.32%,2.53%
3/31/1988,4.21%,1.53%,1.90%,6.93%,8.83%
4/29/1988,0.22%,-1.27%,-2.28%,1.81%,3.64%
5/31/1988,2.07%,2.05%,-0.51%,-4.56%,7.34%
6/30/1988,-0.39%,3.58%,-5.70%,5.60%,-5.70%
7/29/1988,-1.90%,-6.63%,-4.51%,-2.48%,7.82%
8/31/1988,1.40%,6.56%,4.98%,-8.56%,-4.45%
9/30/1988,2.15%,5.17%,-7.69%,5.15%,3.24%
10/31/1988,0.54%,-1.52%,-5.82%,11.85%,2.92%
11/30/1988,0.17%,-2.36%,-5.04%,-4.43%,10.36%
12/30/1988,0.46%,-1.81%,6.67%,-5.38%,2.30%
1/31/1989,6.32%,-1.24%,12.11%,-4.91%,19.56%
2/28/1989,-5.05%,0.38%,-10.68%,11.68%,-17.81%
3/31/1989,5.96%,4.73%,3.98%,0.79%,11.98%
4/28/1989,1.01%,0.46%,6.19%,-5.47%,1.23%
