Date,MMM_PX_LAST,MMM_PX_VOL,AAPL_PX_LAST,AAPL_PX_VOL,AXP_PX_LAST,AXP_PX_VOL,T_PX_LAST,T_PX_VOL,BA_PX_LAST,BA_PX_VOL,CAT_PX_LAST,CAT_PX_VOL,CVX_PX_LAST,CVX_PX_VOL,CSCO_PX_LAST,CSCO_PX_VOL,KO_PX_LAST,KO_PX_VOL,DD_PX_LAST,DD_PX_VOL,XOM_PX_LAST,XOM_PX_VOL,GE_PX_LAST,GE_PX_VOL,GOOG_PX_LAST,GOOG_PX_VOL,GS_PX_LAST,GS_PX_VOL,HD_PX_LAST,HD_PX_VOL,INTC_PX_LAST,INTC_PX_VOL,JNJ_PX_LAST,JNJ_PX_VOL,JPM_PX_LAST,JPM_PX_VOL,MCD_PX_LAST,MCD_PX_VOL,MRK_PX_LAST,MRK_PX_VOL,MSFT_PX_LAST,MSFT_PX_VOL,NKE_PX_LAST,NKE_PX_VOL,PFE_PX_LAST,PFE_PX_VOL,PG_PX_LAST,PG_PX_VOL,TRV_PX_LAST,TRV_PX_VOL,UNH_PX_LAST,UNH_PX_VOL,UTX_PX_LAST,UTX_PX_VOL,VZ_PX_LAST,VZ_PX_VOL,V_PX_LAST,V_PX_VOL,WMT_PX_LAST,WMT_PX_VOL,DIS_PX_LAST,DIS_PX_VOL
4/8/2016,166.63,564152,108.66,23581740,59.5,4603616,38.5,17562859,127.88,3939827,74.35,4911253,96.33,7108491,27.69,14495574,46.87,11959305,63.2,1588913,83.21,9376167,30.79,26808894,759.47,1171867,150.28,3122203,133.62,2924397,31.63,17031882,109.1,6301634,57.74,13547667,127.96,3625607,55.36,6987403,54.42,22167223,59.42,8761653,32.5,52749519,83.2,5452988,115.23,907049,125.68,3642689,101.32,2755510,52.18,12197932,78.03,5327470,68.06,6515993,96.42,6982660
4/7/2016,167.16,610317,108.54,31801870,58.86,4051283,38.59,22285728,127,4596320,74.17,4800825,94.79,6817715,27.6,17016844,46.36,9291960,62.81,2500603,82.37,8267069,30.63,33563505,760.12,1274852,150.41,4786805,133.87,3953672,31.55,23738226,109.27,7822916,57.32,19226797,128.14,4720775,55.42,10536803,54.46,19225092,60.3,7092947,32.76,61377971,83.24,6655914,114.5,1293968,126.87,3186604,100.89,3844721,52,23076267,77.58,7542091,68.22,6110491,96.16,7525406
4/6/2016,166.81,570808,110.96,26404077,59.88,4112070,38.64,22267428,127.93,3998029,75.22,4929823,94.84,6836439,28,20395805,46.71,9122659,63.5,3297155,83.31,9320161,30.9,36643203,768.07,1265577,155.19,2927406,135.44,3365550,32.08,15740607,109.42,6828705,58.81,12167852,127.52,5619947,55.63,12480377,55.12,21188682,60.31,10201539,32.93,150396010,83.81,6292095,115.93,1644716,128.03,3021371,100.37,5070353,53.52,12993580,78.21,6220442,69.04,5362697,97.48,6952406
4/5/2016,165.81,492505,109.81,26578652,60.19,4639974,39.19,24887392,127.03,4660147,75.24,4386806,92.67,6661963,27.58,24245658,46.53,10696703,63.17,2679155,82.21,10446841,30.98,31282070,758.57,1223905,155.35,2822667,134.58,4068595,31.9,20080011,108.95,7938961,58.36,12886615,127.38,6282243,54.24,9000791,54.56,19272255,59.67,7554009,31.36,284468054,83.16,5259066,116.13,1215102,127.04,4439964,99.86,3120370,54.09,12979111,76.97,6012003,68.64,5779038,97,10818781
4/4/2016,166.4,586634,111.12,37356204,60.62,3367372,39.36,18038726,126.34,5036477,75.72,4349645,93.43,6552034,28.14,17890041,46.89,10629837,63.8,1819419,83.16,8050167,31.23,44929034,765.12,1346424,157.77,2478645,134.85,3548253,32,21581634,108.59,10668885,59.2,12305028,127.57,4239620,54.4,10249612,55.43,18928810,59.97,16523442,30.72,51956937,83.21,5593417,117.56,1096107,129.49,2812378,100.27,3707466,54.42,11402665,77.83,6905791,69.1,6823402,98.68,5334697
4/1/2016,167.53,646342,109.99,25873950,61.1,4167514,39.05,27725134,126.96,5327979,76.79,4878268,94.26,7555891,28.69,23026363,46.83,14922876,63.91,3593501,82.96,12235334,31.93,39399551,769.67,1583698,159.82,3373383,134.85,4259433,32.45,18049694,109.19,9043232,59.87,15417527,127.02,5212405,53.7,8683128,55.57,24399193,61.59,7555272,30.04,48363680,83.53,8028606,117.4,1478969,129.92,3901677,99.97,4038090,54.01,13807115,77.59,10183430,69.06,6602374,99.07,5895453
3/31/2016,166.63,562018,108.99,25888449,61.4,6310219,39.17,27101194,126.94,8758273,76.54,4348712,95.4,5943864,28.47,18377563,46.39,15544517,63.32,3483518,83.59,13896906,31.79,36834319,762.9,1627669,156.98,2927346,133.43,3685885,32.35,17879995,108.2,8167693,59.22,14904715,125.68,7685896,52.91,8335020,55.23,26360495,61.47,8257807,29.64,56794821,82.31,6819225,116.71,1111390,128.9,3181784,100.1,3832524,54.08,12428588,76.48,7490770,68.49,6283490,99.31,7038803
3/30/2016,166.75,514699,109.56,45601149,60.29,5103244,39.37,25745554,128.58,5948968,76.51,4886750,95.25,6182944,28.46,19390162,46.58,14312186,64.17,2285585,84.52,10807029,31.83,35094037,768.34,2019755,156.5,3130594,133.42,3138348,32.71,16598019,108.98,5248182,59.71,13307142,125.83,4853663,53.22,6403872,55.05,23008260,62.04,7859341,30.07,32091605,82.68,6925360,117.43,1147755,129.68,2578505,100.25,3010694,54.04,14528283,76.78,9691857,68.8,7208543,98.91,5677471
3/29/2016,164.39,761735,107.68,31190083,60.6,4210346,39.45,25894874,130.88,4910240,76.01,4085003,95.32,6616592,28.1,17139330,46.48,25010417,63.64,2823135,84.53,9977887,31.48,38549776,765.89,2003061,155.03,2919470,132.47,3405373,32.38,15313190,109.14,6612787,59.03,15933428,123.97,7188190,53.32,7376654,54.71,23924329,61.49,7837765,30.05,34596245,82.8,6731392,116.41,1234127,129.83,2463118,100.12,3766598,54.05,10770474,75.38,10541504,68.03,6491000,98.16,5170836
3/28/2016,166.28,908176,105.19,19411372,60.28,3261940,39.07,21543725,131.29,3352222,75.32,3425427,94.68,5054040,27.9,12785874,45.8,13306594,64.19,1666057,84.22,7490353,31.49,39486776,753.28,1083823,153.84,2308573,131.08,2621143,31.9,11433018,108.23,4738112,59.4,11159717,123.17,4784378,52.83,6046838,53.54,17025050,61.34,7898992,29.78,31167480,82.62,4988467,116.25,885183,128.92,1955202,98.91,2279663,53.4,8527060,74.08,7283310,68.12,5603464,98.09,5317112
